NO! NO! NO! Common misconceptions,remaining text,word count,Google hits,lot of noise (i.e. myth busting) in search result,Google search,category,Source Name,source,source,source,source,source
Seasons are caused by the Earth's distance from the Sun.,They're actually related to the 23 degree tilt of the Earth's axis.,12,"5,070",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22seasons+caused%22+earth%27s+distance+sun&oq=%22seasons+caused%22+earth%27s+distance+sun&gs_l=serp.3..0i5i30j0i8i30l2.4563.24558.51.24942.8.8.0.0.0.1.243.983.4j3j1.8.0.les%3B..0.0...1c.1.q1oviBSIP0o&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",Science,NASA,http://istp.gsfc.nasa.gov/istp/outreach/sunearthmiscons.html,,,,
Sex reduces athletic performance ,"No physiological basis to this, could even help male athletes because of increased testosterone.",14,"27,400","sex ""before athletic performance""",,sex,"Nature, National Geographic",http://www.nature.com/news/2006/060609/full/news060605-16.html,http://news.nationalgeographic.com/news/2006/02/0222_060222_sex.html,,,
Sharks don't get cancer.,Oh yes they do. Particularly skin cancer.,7,"121,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22sharks+don%27t+get+cancer%22&oq=%22sharks+don%27t+get+cancer%22&gs_l=serp.3..0j0i8i10i30l2j0i8i30.37497.38289.82.41868.4.4.0.0.0.1.190.438.3j1.4.0.les%3B..0.0...1c.1.ldGHKw4iylQ&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",nature,Cancer Research,http://cancerres.aacrjournals.org/content/64/23/8485,,,,
Shaving your hair makes it thicker,"Regrown hair isn't thicker, coarser, or darker, it just appears so because it's no longer tapered.",16,"43,500",y,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22shaving+hair%22+grows+back+thicker&oq=%22shaving+hair%22+grows+back+thicker&gs_l=hp.3..0j0i5i30j0i8i30l2.850.9633.19.10549.22.20.2.0.0.0.391.3042.7j9j2j2.20.0.les%3B..0.0...1c.1._MsfwljqUJQ&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",beauty,"Snopes, Mayoclinic",http://snopes.com/oldwives/hairgrow.asp,http://www.mayoclinic.com/health/hair-removal/an00638,,,
Single genes exist for different personality traits,Gross oversimplification; there is no 'gay gene' etc.,8,"388,000","""the gene for"" personality traits",,genetics,"The Year in Cognitive Neuroscience, Guardian, BBC News",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2805335/pdf/nyas1156-0001.pdf,http://www.guardian.co.uk/science/blog/2010/sep/09/gene-intelligence-genetic-testing,http://news.bbc.co.uk/1/hi/sci/tech/325979.stm,,
Sleeping with an electric fan on can be deadly,Big myth in Korea. Very unlikely.,6,"159,000",y,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22fan+death%22+korea&oq=%22fan+death%22+korea&gs_l=hp.3..0l2.41494.53356.1.53639.24.24.0.0.0.0.223.2446.16j5j2.23.0.les%3B..0.0...1c.1.jzyn9Njd2Gc&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",science,"Korea Consumer Protection Board, JoongAng Daily, Esquire",http://web.archive.org/web/20070927051420/http://english.cpb.or.kr/user/bbs/code02_detail.php?av_jbno=2006071800002,http://web.archive.org/web/20070110052746/http://joongangdaily.joins.com/200409/22/200409222123324579900091009101.html,http://www.esquire.com/style/answer-fella/korean-fan-death-0209,,
Some people have a photographic memory,"No hard scientific evidence, but memory that mimics a camera is unlikely. Some people just have great memories",18,"1,700,000","""photographic memory""",,psychology,"Indianpublicmedia.org, Slate",http://indianapublicmedia.org/amomentofscience/photographic-memory/,http://www.slate.com/articles/health_and_science/science/2006/04/kaavya_syndrome.html,,,
Steep Learning Curve,"Actually means a skill that iseasy and quick to learn.Think about it. The curve justgoes up and up. ",18,"7,770,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=Steep+Learning+Curve,mind,Postgraduate Medical Journal,http://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&Cmd=ShowDetailView&TermToSearch=18057179,,,,
Sugar makes children hyperactive,Studies have disproved this. ADHD still occurs in children with sugar-free diets.,12,"4,400",y,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22caffeine+dehydrates%22+body&oq=%22caffeine+dehydrates%22+body&gs_l=hp.12..0i30j0i8i30.3250.4225.33.5373.5.5.0.0.0.0.403.874.3j0j1j0j1.5.0.les%3B..0.0...1c.1.-OkNRzM328M&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",health,"BMJ, Fullerton-Smith, Jill (2007). The Truth About Food. Bloomsbury. pp. 115–117.",http://www.bmj.com/content/337/bmj.a2769,http://books.google.co.uk/books/about/The_Truth_About_Food.html?id=5OYfGQAACAAJ&redir_esc=y,,,
Sushi is raw fish,Lost in translation. Sushi means 'sour rice' and does not always feature fish.  Sashimi means 'raw' - but isn't just fish.,21,"63,100",difficult accurate search,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22sushi+is+raw+fish%22&oq=%22sushi+is+raw+fish%22&gs_l=serp.12..0i30j0i8i30.11759.17467.38.19300.23.22.0.0.0.10.304.3585.5j11j5j1.22.0.les%3B..0.0...1c.1.x9oDWk4gbjY&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=656",Cooking,"Baltimore Sun, Japan Guide",http://articles.baltimoresun.com/2012-06-18/entertainment/bal-international-sushi-day_1_ra-sushi-bar-restaurant-vinegared-rice-raw-fish,http://www.japan-guide.com/e/e2038.html,,,
The 'Dark Ages',The period between the decline of the Roman Empire and the Renaissance was not that dark or backward. An historical cliche.,21,"5,940,000",,"https://www.google.com/#hl=en&tbo=d&sclient=psy-ab&q=%22the+dark+ages%22+barbaric&oq=%22the+dark+ages%22+barbaric&gs_l=hp.3...15240.19880.3.20004.15.15.0.0.0.5.215.1892.1j13j1.15.0.les%3B..0.0...1c.1.gL288Ow1JH4&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=c07a51cc249778de&biw=1079&bih=1226",history,National Review,http://www.nationalreview.com/articles/227744/not-so-dark-ages-ryan-sayre-patrico,,,,
The 5 Second Rule,"Amount of bacteria transferredto fallen food depends on howcontaminated the floor is, nothow long the food stays there.",18,"96,000,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=5+second+rule,food,Journal of Applied Microbiology,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2672.2006.03171.x/full,,,,
The First Thanksgiving,Celebrations were recorded 50 years before the 'first' Thanksgiving at Plymouth Colony.,12,"1,160,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22The+First+Thanksgiving%22+pilgrims+and+indians&oq=%22The+First+Thanksgiving%22+pilgrims+and+indians&gs_l=serp.3..0j0i22l2.27091.32881.1.33716.14.13.1.0.0.0.185.1336.9j4.13.0.les%3B..0.0...1c.1.Xu29N5lcrjY&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",history,NY Times,http://www.nytimes.com/2008/11/26/opinion/26davis.html?_r=1&th&emc=th,http://www.history.com/topics/thanksgiving/page3,,,
The Left and right brains have different capabilities,No solid functional division; some functions activate some areas more than others. Left brain can learn 'right brain' functions and vice-versa.,21,"2,600,000","""left brain"" ""right brain"" different",,brain,Neuroscience Nature reviews ,http://www.nature.com/nrn/journal/v7/n5/full/nrn1907.html,http://www.ncbi.nlm.nih.gov/pubmed/16607400,,,
The Oceans are blue because they reflect the sky,Nope. Absorption and scattering of light causes blue colour,9,644,"oceans blue ""reflect sky""",,physics,"Journal of Chemical Education, Physics Today",http://inside.mines.edu/fs_home/dwu/classes/CH353/study/Why%20is%20Water%20Blue.pdf,http://www.physicstoday.org/resource/1/phtoad/v64/i4/p44_s1?isAuthorized=no,,,
The Vomitorium,Not a room Romans used during Bacchanalian binges but the name for the entrance to a stadium. Vomiting was not a regular part of Roman dining customs.,27,"14,800",,"https://www.google.com/#hl=en&tbo=d&sclient=psy-ab&q=%22the+vomitorium%22+vomiting&oq=%22the+vomitorium%22+vomiting&gs_l=hp.3...623.1558.1.2099.8.8.0.0.0.0.110.680.7j1.8.0.les%3B..0.0...1c.1.wPJU_ODk0j8&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=c07a51cc249778de&biw=1079&bih=1226",history,"McKeown, J.C. (2010). A Cabinet of Roman Curiosities: Strange Tales and Surprising Facts from the World’s Greatest Empire",http://books.google.co.uk/books?id=YGYwlMZ3ursC&pg=PA153&dq=vomitorium+misconception&hl=en#v=onepage&q=vomitorium%20misconception&f=false,,,,
There is no gravity on the International Space Station,Gravity is everywhere. Earth's gravity is pretty strong on the ISS - NASA says a person who weighs 100lb on earth still weighs 90lb there.,25,"1,540,000",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=gravity+international+space+station,science,NASA,http://www.nasa.gov/audience/forstudents/k-4/stories/nasa-knows/what-is-microgravity-k4.html,,,,
"Thomas Crapper invented ""crap""",Actually it's Latin for chaff. ,5,"40,400",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22Thomas+Crapper+invented%22+toilet&oq=%22Thomas+Crapper+invented%22+toilet&gs_l=serp.12..0j0i5i30l3.9188.10699.40.12297.7.7.0.0.0.1.324.1655.1j1j2j3.7.0.les%3B..0.0...1c.1.PagGDe0gTx4&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=656",Etymology,Online Etymology Dictionary,http://www.etymonline.com/index.php?term=crap,,,,
Three Wise Men visited Jesus,"Nowhere in the Bible does it specify this. A mash up of Matthew 2 and Isaiah 60:1–3: ""The wise men visited Jesus as a child, in a house"".",28,"1,250,000","""Three wise men"" in Bible",,religion,Snopes,http://www.snopes.com/holidays/christmas/3wisemen.asp,http://en.wikipedia.org/wiki/Geza_Vermes,,,
Tongue-rolling is genetic,A famous 1940 paper claimed tongue rolling was at least partially genetic. Another famous 1975 paper refuted this. The debate still hasn't been settled.,24,"60,600",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=tongue+rolling+genetic,body,The Journal of Heredity,http://jhered.oxfordjournals.org/content/66/3/179.extract,,,,
US Constitution written on hemp,"Written on parchment, despite the best efforts of stoner revisionists to convince you otherwise. ",14,"417,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&sugexp=les%3B&gs_rn=1&gs_ri=serp&tok=JMsZcZZ3e4AlhU50k5bkMw&pq=%22us%20constitution%22%20hemp&cp=24&gs_id=9c&xhr=t&q=us+constitution+hemp+paper&pf=p&tbo=d&sclient=psy-ab&oq=%22US+constitution%22+hemp+p&gs_l=&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",history,Library of Congress (Quoted),http://philosophy.thecastsite.com/writings/davis3.html#7,,,,
Vaccines causes autism,Fraudulent research that's been shown as manipulated.,7,"213,000","""vaccines and autism""",,brain,BMJ,http://www.bmj.com/content/342/bmj.c7452.full,,,,
Vegetarians can't get enough protein,"Protein in eggs, beans, vegetables is easily enough. Vegans need B-12 supplements though.",13,"215,000","y, ""vegetarians"" can't get enough protein",https://www.google.co.uk/search?hl=en&safe=off&tbo=d&biw=1375&bih=700&q=%22vegetarians%22+can%27t+get+enough+protein&oq=%22vegetarians%22+can%27t+get+enough+protein&gs_l=serp.3..0i30j0i5i30j0i8i30l2.7823.16374.0.17002.21.17.4.0.0.0.186.1579.13j4.17.0.les%3B..0.0...1c.1.2p7PCAixAco,health,"Today's Dietician, Physician's Committee for Responsible Medicine, American Council on Exercise",http://www.todaysdietitian.com/newarchives/082510p20.shtml,http://www.pcrm.org/health/diets/vegdiets/how-can-i-get-enough-protein-the-protein-myth,http://www.acefitness.org/blog/86/are-vegetarian-diets-safe/,,
Viking's Horned Helmets,Created by a costume designer for a 19th century Wagner opera.,11,"36,800",,"https://www.google.com/#hl=en&tbo=d&sclient=psy-ab&q=vikings+%22horned+helmets%22&oq=vikings+%22horned+helmets%22&gs_l=hp.3..0i10i30j0i30j0i5i30j0i8i30.2223.2223.5.2413.1.1.0.0.0.0.82.82.1.1.0.les%3B..0.0...1c.1.mR4cUoIqW3Q&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=c07a51cc249778de&biw=1079&bih=1226",history,"Frank, Roberta. The Invention of the Viking Horned Helmet",http://www.scribd.com/doc/51267328/Frank-Invention-of-Horned-Helmet,,,,
Waking sleepwalkers is dangerous,"No, but they'll be really confused. Sleepwalkers are more likely to hurt themselves if they're not awoken. ",17,"941,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&sugexp=les%3B&gs_rn=1&gs_ri=serp&tok=JMsZcZZ3e4AlhU50k5bkMw&pq=%22waking%20sleepwalker%22%20dangerous&cp=19&gs_id=4hp&xhr=t&q=waking+sleepwalker+dangerous&pf=p&tbo=d&sclient=psy-ab&oq=%22waking+sleepwalker+dangerous&gs_l=&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700&bs=1",health,"MedicineNet, National Sleep Foundation",http://www.medicinenet.com/sleepwalking/article.htm,http://www.sleepfoundation.org/article/sleep-related-problems/sleepwalking,,,
Washington's wooden teeth,"A much more hygenic mix of gold, ivory, lead and horse and donkey teeth. No wood. ",16,"41,400",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22Washingtons+wooden+teeth%22&oq=%22Washingtons+wooden+teeth%22&gs_l=serp.3..0i10i30j0i13i30l2j0i13i5i30.45268.54364.2.54831.25.23.0.0.0.0.247.2913.11j9j3.23.0.les%3B..0.0...1c.1.cJ8UrOMeAac&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",history,MSNBC/Smithsonian,http://www.msnbc.msn.com/id/6875436/ns/technology_and_science-science/t/george-washingtons-false-teeth-not-wooden/,,,,
Water conducts electricity,"Water itself is actually an insulator. It's also a great solvent. The substances it dissolves (salt etc.) contain ions, which do conduct electricity.",23,"28,400,000",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=water+conductivity,science,The USGS Water Science School,http://water.usgs.gov/edu/electrical-conductivity.html,,,,
We have 5 senses,"We actually have close to 20 including balance, pain, movement, hunger, thirst, etc.",13,"507,000",,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%225+senses%22+of+the+body&oq=%225+senses%22+of+the+body&gs_l=hp.3..0l2j0i30l2.760.4568.17.4994.12.12.0.0.0.1.299.1822.4j4j4.12.0.les%3B..0.0...1c.1.DTTHJt33ups&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",science,"Discovery Health, Harvard",http://tlc.howstuffworks.com/family/question242.htm,http://hms.harvard.edu/content/extra-sensory-perceptions,,,
We only use 10% of our brains,"Metaphor that's been misunderstood; not all neurons are always firing, but inactive cells are still important.",16,"123,000","""10% of our brain""",,brain,Skeptical Inquirer,http://www.csicop.org/si/show/the_ten-percent_myth/,,,,
You can get high from banana peel,"A hoax, perpetuated through the Internet. ",6,"3,390,000",,"https://www.google.com/search?q=salt+make+water+boil&oq=salt+make+water+boil&sourceid=chrome&ie=UTF-8#hl=en&tbo=d&sclient=psy-ab&q=high+banana+peel&oq=high+banana+peel&gs_l=serp.3..0j0i5i10i30j0i5i30l2.13190.16157.2.16302.20.17.2.1.1.1.217.2191.4j12j1.17.0.les%3B..0.0...1c.1.5-pSPNx33_Y&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=c07a51cc249778de&biw=1023&bih=1215",drugs,"NY Times, Straight Dope",http://eastvillage.thelocal.nytimes.com/2012/02/18/anatomy-of-the-great-banana-smoking-hoax-of-1967/,http://www.straightdope.com/columns/read/2389/will-smoking-banana-peels-get-you-high,,,
You have to say if you're a cop,US Police working entrapment law do not have to identify themselves. A hollywood-induced myth. ,14,"436,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22undercover+cop%22+identify+themselves&oq=%22undercover+cop%22+identify+themselves&gs_l=serp.3...200950.247092.27.247228.39.37.2.0.0.0.466.6180.3j27j4j1j2.37.0.les%3B..0.0...1c.1.9m1E--mASRw&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",Law,"National Criminal Justice Review, Law Blog, Snopes",https://www.ncjrs.gov/App/publications/Abstract.aspx?id=141835,http://www.snopes.com/risque/hookers/cop.asp,http://lawblog.legalmatch.com/2010/06/03/are-you-a-cop-debunking-the-entrapment-myth/,,
Birth order has an effect on personality ,"Birth order has a minor effect on intelligence, but not on personality traits.",13,"2,270,000",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=birth%20order%20personality,science,Mainz and Leipzig universities,https://www.uni-mainz.de/presse/19669_ENG_HTML.php,,,,
Using your cellphone on a plane is dangerous,Handheld devices have no impact on planes' communication & navigation equipment.,11,"629,000",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=cell+phones+on+planes,science,Forbes,http://www.forbes.com/sites/marcwebertobias/2014/12/05/how-you-can-use-your-cell-phone-on-airplanes-when-you-travel/#59994f61778c,,,,
Cellphones at gas stations could trigger explosions,Scientific testing has discovered no link between cellphones and gas station explosions. ,12,"1,150,000",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=cell+phones+gas+stations,science,Federal Communications Commission,https://www.fcc.gov/consumers/guides/wireless-devices-gas-stations,,,,
Your eyes will pop out if you sneeze with them open,There is no mechanism that would allow a sneeze to push your eyeballs out.,14,"95,300",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=eyes+pop+out+sneeze,science,Penn State,https://sites.psu.edu/siowfa15/2015/09/12/the-eye-popping-truth-about-sneezing/,,,,
Killer brace position,The brace position really is your best chance at surviving an air crash. ,13,"90,800",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=killer+brace+position,science,Telegraph,http://www.telegraph.co.uk/travel/news/Does-the-brace-position-save-lives/,,,,
Pre-workout stretching,Won't stop you from aching later & could actually make your workout less effective,14,"183,000","""pre-workout stretching""",https://www.google.co.uk/search?q=%22pre-workout+stretching%22&oq=%22pre-workout+stretching%22&aqs=chrome..69i57j0l5.4934j0j7&sourceid=chrome&ie=UTF-8,body,Cochrane Review,http://onlinelibrary.wiley.com/store/10.1002/14651858.CD004577.pub3/asset/CD004577.pdf?v=1&t=iwfa62lb&s=36c8817a325f21c8aed2850f51f15471727f31e6,http://onlinelibrary.wiley.com/doi/10.1111/j.1600-0838.2012.01444.x/full,,,
Drink 8 glasses of water daily,Drinking that much doesn’t make healthy people any healthier.,9,"447,000","""8 glasses of water""",https://www.google.co.uk/search?q=%22stretching+before+exercise%22&oq=%22stretching+before+exercise%22&aqs=chrome..69i57j0l5.7406j0j7&sourceid=chrome&ie=UTF-8#q=%228+glasses+of+water%22&*,body,"British Journal of Nutrition, Clinical Dermatology, Nephrology Dialysis Transplantation",https://academic.oup.com/ndt/article/29/7/1377/1843525/Fluid-intake-and-all-cause-mortality,https://www.ncbi.nlm.nih.gov/pubmed/20620753,https://www.ncbi.nlm.nih.gov/pubmed/20456812,,
Can't refreeze raw meat,It's fine as long as it was thawed in the fridge,11,"220,000",,https://www.google.com/search?q=can+you+refreeze+meat&oq=can+you+refreeze+meat&aqs=chrome..69i57j0l5.2871j0j7&sourceid=chrome&ie=UTF-8,food,USDA,http://www.usda.gov/wps/portal/usda/usdahome?parentnav=FAQS_BYTOPIC&FAQ_NAVIGATION_ID=FOOD_FQ&FAQ_NAVIGATION_TYPE=FAQS_BYTOPIC&contentid=faqdetail-16.xml&edeployment_action=retrievecontent,,,,
Waving your phone in the air gets you a better signal,"Does not improve your phone signal. In fact it makes it worse, and makes you look like an idiot.",19,,,,science,The Verge,https://www.theverge.com/circuitbreaker/2017/12/24/16812250/cellphone-reception-iphone-improve-tricks-hacks-raising-arms,,,,
