Year,Month,Bakerloo,Central,Jubilee,Northern,Piccadilly,Victoria,Waterloo_and_City,Sub-surface_lines
2013,January,21.7,21,16.4,19.5,19.3,18.4,16.4,11.9
2013,February,21.5,21,17.9,19.8,19,18.3,17.1,11.3
2013,March,21.7,20.9,18.2,20,18.7,17.7,16.7,11.4
2013,April,23.4,22.8,20.3,21.4,20.3,19.6,18.4,15.3
2013,May,25.4,24.7,21.9,22.9,22.4,21.5,20.3,18.3
2013,June,27,26.7,23.1,23.7,24.2,23.3,22.1,21.3
2013,July,29.7,30,26.3,25.9,27.5,26.5,24.9,26.3
2013,August,29.9,30,26.1,26.2,27.4,26.6,25.1,25.3
2013,September,28.9,28.2,24.5,25.1,26.1,25.1,23.8,22.4
2013,October,27.9,27.1,23.1,24.2,25.1,24.1,23.1,20.4
2013,November,25.4,24.5,20.1,22.1,22.4,21.5,20.9,15.9
2013,December,23.9,23.1,19.7,21.2,21,20,19.4,14.7
2014,January,23.4,22.7,19.6,20.7,20.6,19.6,19.1,14.3
2014,February,22.9,22.3,18.2,20.2,20,19.2,18.7,14.2
2014,March,23.9,23.7,19.5,21.1,21.5,20.6,20.1,16.7
2014,April,25.5,25.1,20.8,22.6,22.9,22.1,21.3,19.1
2014,May,26.1,26.3,21.9,23.4,24,23.2,22.2,20.4
2014,June,28.3,28.7,24.5,25.2,26.1,25.1,24.1,23.8
2014,July,29.9,30.5,26.3,27.1,27.8,27.2,25.8,26.2
2014,August,29.8,29.5,25.1,26.8,27.2,26.5,25.2,23.9
2014,September,29.3,29.3,25.1,26.5,26.9,26.1,25.3,23.5
2014,October,28.3,27.7,23.2,25.6,25.4,24.8,23.9,20.6
2014,November,26.9,25.7,20.9,23.9,23.3,23.1,21.7,17.2
2014,December,24.5,23.3,18.5,22,21.1,20.9,19.8,13.9
2015,January,23.48,22.03,19.05,21.55,19.98,19.69,18.9,12.9
2015,February,22.75,21.92,19.18,21.11,19.12,18.96,18.49,12.6
2015,March,23.76,23.17,20.31,22.17,19.82,20.03,19.41,14.7
2015,April,25.19,25.06,21.39,23.82,21.64,21.97,20.86,18
2015,May,26.41,26.32,22.53,24.77,22.89,23.06,21.9,19.6
2015,June,28.17,28.37,24.39,26.33,24.76,24.92,23.83,22.6
2015,July,29.78,29.81,26.03,27.76,26.22,26.35,25.22,24.7
2015,August,29.62,29.43,26.17,27.74,26.15,25.47,25.12,24.3
2015,September,29.36,27.52,25.34,26.83,24.28,25.03,23.95,21.6
2015,October,28.04,26.54,24.52,25.83,22.13,24.51,23.13,19.8
2015,November,26.96,25.39,22.12,24.88,22.59,23.33,21.95,17.8
2015,December,26.17,24.88,21.33,24.57,22.61,22.93,21.42,17
2016,January,24.5,23.11,20.46,23.32,21.16,21,19.4,13.79
2016,February,23.88,22.79,20.42,22.86,20.26,20.94,19.1,13.4
2016,March,23.71,22.83,20.63,22.74,19.66,21.01,19.27,13.79
2016,April,24.6,24.03,21.94,24.01,21.08,21.96,20.34,16.03
2016,May,26.61,26.62,24.21,25.23,23.39,24,22.55,20.33
2016,June,27.99,27.98,24.79,26.09,24.68,25.41,23.81,21.86
2016,July,29.89,29.6,25.96,27.5,26.49,27.1,25.3,24.68
2016,August,31.04,30.47,26.57,27.98,27.3,28.03,25.95,25
2016,September,30.91,30.23,26.22,28.3,27.07,27.93,26.03,24.36
2016,October,28.69,27.5,23.58,26.31,24.59,25.81,23.46,19.42
2016,November,26.34,24.74,20.52,24.2,21.83,23.35,21.12,15.31
2016,December,25.3,23.72,19.52,23.4,20.5,22.69,20.13,14.47
2017,January,23.4,21.55,17.5,21.54,18.9,20.51,18.19,11.99
2017,February,24.27,22.38,18.58,21.87,19.69,21.7,18.86,13.3
2017,March,25.66,24.29,20.56,23.09,21.28,23.63,20.46,15.98
2017,April,26.7,25.59,22.82,24.1,22.67,23.96,21.25,17.79
2017,May,27.66,26.95,23.69,25.02,23.82,25.4,22.53,20.26
2017,June,29.99,29.76,25.96,27.3,26.35,27.65,24.91,24.15
2017,July,30.87,30.61,26.56,28.15,27.18,28.54,25.53,24.67
2017,August,30.3,30.02,25.89,27.88,26.81,28.18,25.17,23.57
2017,September,29.42,28.8,24.92,27.04,25.69,27.51,24.2,24.35
2017,October,28.36,27.87,24.33,26.37,24.67,28.04,23.5,23.18
2017,November,26.22,25.24,22.53,24.13,22.34,26.68,21.14,16.04
2017,December,25.04,23.1,20.96,22.37,20.27,24.51,19.26,13.27
2018,January,24.84,22.89,20.84,22.19,20.02,24.21,19,13.49
2018,February,23.79,21.93,20.14,21.4,19.04,22.82,21.21,11.62
2018,March,23.43,22.3,20.45,21.49,19.31,22.6,23.54,12.74
2018,April,25.59,24.87,22.5,23.26,21.89,24.37,24.6,17.28
2018,May,27.88,27.46,24.05,25.3,24.27,26.31,23.01,21.16
2018,June,29.8,29.51,25.84,27.19,26.28,27.69,24.5,24.43
2018,July,32.41,32.02,28.16,29.46,28.57,29.91,26.54,27.72
2018,August,32.24,31.23,27.2,29.12,28.13,29.61,26.32,25.49
2018,September,31.13,29.49,25.38,28,26.55,29.1,24.96,22.49
2018,October,29.26,27.67,23.71,26.71,24.82,28.35,23.26,19.63
2018,November,27.31,25.4,21.29,25,22.56,27.43,21.04,15.97
2018,December,26.01,24.09,19.95,23.87,21.5,25.4,19.69,14.71
2019,January,24.85,22.81,19.62,22.65,20.43,24.38,18.46,12.85
2019,February,24.97,23.19,20.73,22.77,20.97,25.49,18.96,14.45
2019,March,25.62,24.3,21.77,23.48,21.75,25.69,19.76,15.6
2019,April,26.49,25.34,21.61,24.18,22.62,25.93,20.15,17.22
2019,May,27.34,26.72,22.8,25.55,24.06,26.73,21.69,19.68
2019,June,29.22,28.31,24.31,27.06,25.72,27.89,23.25,22.34
2019,July,31.07,30.7,26.49,28.86,27.87,30.19,25.31,25.91
2019,August,31.75,30.8,26.43,29.18,28.04,30.18,25.27,25.34
2019,September,30.81,29.54,25.4,28.37,26.99,29.24,24.38,22.93
2019,October,28.96,27.37,22.96,26.62,24.92,27.97,22.41,18.92
2019,November,26.8,24.89,20.42,24.71,22.66,25.77,19.99,15.31
2019,December,25.46,23.8,19.07,23.48,21.59,25.22,19.05,14.19
2020,January,25.38,23.81,19.73,23.36,21.53,25.92,19.06,14.29
2020,February,24.97,23.88,20.21,23.19,21.25,26.05,18.93,14.01
2020,March,24.81,23.4,19.33,22.57,21.05,24.41,18.53,14.08
2020,April,25.23,22.91,19.58,22.62,20.99,22.44,18.68,16.38
2020,May,27.12,24.17,21.28,23.75,22.35,23.02,19.31,19.42
2020,June,28.83,26.7,23.58,25.65,24.7,26.39,20.55,22.02
2020,July,29.96,28.62,24.86,26.79,25.89,27.82,21.14,23.31
2020,August,31.18,30.5,26.18,28.21,27.35,29.64,22.05,24.94
2020,September,30.41,29.14,24.16,27.48,26.29,29.11,20.6,22.33
2020,October,27.71,26.38,21.2,25.55,23.76,27.88,18.1,17.64
2020,November,26.52,25.31,20.71,24.34,22.47,26.09,17.53,16.1
2020,December,24.11,23.42,18.31,22.56,20.43,24.11,15.37,13.36
2021,January,21.93,21.71,16.56,21.11,18.77,21.97,13.69,11.18
2021,February,21.72,22.03,17.98,21.18,18.98,23.28,13.93,12.09
2021,March,22.35,22.63,19.13,21.78,19.68,23.73,14.58,13.93
2021,April,23.01,23.61,19.22,21.98,20.6,24.18,15.04,15.28
2021,May,24.14,24.48,20.03,23.21,21.7,25.67,16.17,17.34
2021,June,27.37,28.14,23.59,26.19,25.04,28.99,20.12,23
2021,July,28.49,29.32,24.7,27.35,26.22,29.86,21.56,24.1
2021,August,28.41,29.22,23.97,27.23,26.09,29.18,21.3,22.44
2021,September,29.09,29.32,24.12,27.49,26.1,29.94,21.49,23.56
2021,October,27.48,27.18,22.27,26,24.4,28.28,19.76,20.05
2021,November,25.34,24.88,20.08,24.27,22.42,26.57,17.9,16.55
2021,December,23.64,23.12,18.02,22.88,20.52,25.05,17.25,13.82
2022,January,23.01,22.5,17.59,21.68,19.86,24.47,15.51,13.85
2022,February,23.15,23.02,18.08,21.39,20.32,24.4,16.93,14.75
2022,March,23.05,23.86,19.32,21.75,20.92,24.06,17.59,15.88
2022,April,24.56,24.81,20.73,22.68,22.2,26.18,18.69,17.52
2022,May,26.15,26.83,22.4,24.61,24.18,27.84,20.69,21.06
2022,June,27.36,28.28,24.1,26.17,25.65,29.04,21.84,23.42
2022,July,29.44,30.26,26.3,28.39,27.67,30.82,23.99,26.76
2022,August,30.4,31.32,26.86,29.15,28.39,31.18,24.96,27.39
2022,September,29.21,29.62,24.97,28.14,26.93,30.84,23.43,23.32
2022,October,27.58,27.97,23.38,26.93,25.33,29.89,22.21,21.14
2022,November,26.02,25.82,21.27,25.31,23.43,27.32,20.27,17.5
2022,December,23.35,22.82,17.34,22.73,20.59,25.8,15.97,12.21
2023,January,22.88,23.36,18.59,22.72,20.5,26,17.34,13.45
2023,February,22.98,23.39,19.05,22.71,20.59,25.92,17.68,14.74
2023,March,23.11,23.12,18.61,22.36,20.56,25.38,17.71,14.68
2023,April,24.09,24.46,20.35,23.71,21.91,26.48,18.69,16.84
2023,May,25.73,26.65,21.87,25.18,23.86,28.22,20.42,20.41
2023,June,28.03,29.67,24.73,27.46,26.38,30.33,22.94,25.23
2023,July,28.65,29.99,25.18,28,27,30.59,23.48,24.36
2023,August,28.85,30.18,25.42,28.39,27.09,30.61,23.74,24.75
2023,September,29.65,30.89,25.82,28.8,27.39,31.25,24.13,25.42
2023,October,28.07,29.06,23.81,27.16,25.74,30.28,22.25,21.01
2023,November,25.61,26.1,20.49,24.69,22.99,27.82,19.59,16.12
2023,December,24.06,24.5,18.52,23.37,21.61,26.35,18.26,14.78
2024,January,22.9,23.3,17.4,22.4,20.5,25.7,17.1,13.1
2024,February,24,24.4,19.6,23.2,21.2,26.6,18.4,15.4
2024,March,24.2,24.7,20.7,23.3,21.5,26.2,18.5,15.7
2024,April,24.7,25.3,21.2,23.9,22.5,27.1,19.4,17.4
2024,May,26.6,27.5,22.9,25.4,24.3,28.5,21.1,21
2024,June,27.9,28.8,24.2,26.8,25.6,29.6,22.2,22.9
2024,July,29,29.8,25.3,27.9,26.7,30.7,23.4,24.6
2024,August,29.9,30.6,26.2,28.8,27.4,31.1,24.1,25.7
2024,September,29,29.1,24.9,27.9,26,30.2,23.8,23.4
2024,October,27.5,27.5,22.8,26.5,24.5,29.1,21.5,19.7
2024,November,26.2,26.1,20.2,24.8,22.5,27.1,19.3,16.1
2024,December,25.2,24.7,19.1,23.2,20.5,26,17.9,14.7
